site,mx,my,mz,atom
371,0.2997075,0.06557507,-0.95177484,1
372,0.35118774,0.030179417,-0.93581855,1
373,0.3305211,-0.025245633,-0.9434609,1
374,0.24662372,-0.06719939,-0.9667787,1
375,0.13450746,-0.08030269,-0.9876534,1
376,0.036726005,-0.06786642,-0.9970183,1
377,-0.018649995,-0.034531314,-0.9992296,1
378,-0.024153177,0.028900672,-0.99929047,1
379,0.018258069,0.14526853,-0.9892238,1
380,0.1136708,0.33700716,-0.93461496,1
381,0.27942753,0.5870896,-0.7597671,1
382,0.5053851,0.76910573,-0.3912318,1
383,0.7016842,0.70785874,0.0810884,1
384,0.80240554,0.40702486,0.43643582,1
385,0.99986464,-0.0029567885,-0.016185513,1
386,0.9397755,-0.31776777,-0.1258793,1
387,0.7647128,-0.5103564,-0.39338353,1
388,0.51358795,-0.51470023,-0.68652105,1
389,0.2785923,-0.3710753,-0.885827,1
390,0.12246459,-0.17480063,-0.9769581,1
391,0.037006866,0.035877537,-0.9986708,1
392,-0.011710532,0.2879433,-0.95757586,1
393,-0.0553904,0.61004126,-0.79043126,1
394,-0.11189926,0.91714966,-0.38251156,1
395,-0.16544986,0.9614774,0.21951678,1
396,-0.18861458,0.677871,0.71057403,1
397,-0.19080971,0.25547174,0.9478006,1
398,-0.18849105,-0.19011882,0.96349674,1
399,-0.18374325,-0.6202676,0.76256573,1
400,-0.16309693,-0.93739533,0.30771634,1
401,-0.11385003,-0.94796956,-0.29730782,1
402,-0.05982255,-0.6664109,-0.7431808,1
403,-0.029617311,-0.34759086,-0.93717843,1
404,-0.03174466,-0.11075227,-0.99334097,1
405,-0.07636598,0.057924397,-0.9953959,1
406,-0.18082784,0.19139692,-0.96471167,1
407,-0.35508725,0.29063457,-0.88850695,1
408,-0.5713627,0.3153519,-0.75769246,1
409,-0.7583755,0.22624755,-0.6112926,1
410,-0.84787846,0.040239427,-0.52866143,1
411,-0.8091035,-0.16505879,-0.5640099,1
412,-0.6522896,-0.29541928,-0.6980299,1
413,-0.42830032,-0.29965428,-0.8525058,1
414,-0.205418,-0.20149678,-0.95770687,1
415,-0.017604092,-0.06861033,-0.99748826,1
416,0.14363249,0.04020675,-0.988814,1
417,0.28587714,0.090894066,-0.9539458,1
418,0.3903251,0.07439077,-0.9176668,1
419,0.42657885,0.010856988,-0.90438527,1
420,0.3819024,-0.059329573,-0.9222964,1
421,0.27559215,-0.10112251,-0.955941,1
422,0.1508899,-0.10416989,-0.98304677,1
423,0.051010955,-0.07742233,-0.99569255,1
424,-0.001450353,-0.027221838,-0.99962837,1
425,-0.0039666714,0.057332397,-0.9983473,1
426,0.04099453,0.20142905,-0.9786449,1
427,0.14110848,0.4253691,-0.89395165,1
428,0.31132132,0.68988675,-0.653556,1
429,0.5214585,0.82718104,-0.2094101,1
430,0.6748378,0.6846367,0.27543867,1
