site,mx,my,mz,atom
425,-0.0039666714,0.05733242,-0.9983473,1
426,0.04099453,0.20142902,-0.9786449,1
427,0.14110842,0.42536902,-0.8939517,1
428,0.31132114,0.6898868,-0.653556,1
429,0.5214586,0.8271809,-0.20941015,1
430,0.6748379,0.68463665,0.2754388,1
431,0.7400678,0.3328099,0.58441186,1
432,0.7534479,-0.090416186,0.6512612,1
433,0.7274399,-0.49356145,0.47668478,1
434,0.6307505,-0.7719428,0.079108916,1
435,0.4437815,-0.794075,-0.41533464,1
436,0.2412145,-0.57523394,-0.7816146,1
437,0.10090495,-0.291899,-0.95111156,1
438,0.0139270965,-0.03396356,-0.99932605,1
439,-0.06318668,0.2203813,-0.973365,1
440,-0.17584659,0.50757486,-0.8434724,1
441,-0.34989637,0.7764212,-0.524159,1
442,-0.5362507,0.84373194,-0.023486948,1
443,-0.64574885,0.6239704,0.44007877,1
444,-0.67901415,0.23860735,0.69426686,1
445,-0.67575455,-0.19246814,0.71155584,1
446,-0.64069647,-0.5926251,0.48816335,1
447,-0.5379683,-0.8420878,0.03844657,1
448,-0.35696945,-0.80355656,-0.47630832,1
449,-0.18022317,-0.54902154,-0.8161464,1
450,-0.0680017,-0.28736478,-0.9554042,1
451,-0.015045747,-0.105365455,-0.99431974,1
452,-0.010932184,0.007108091,-0.99991494,1
453,-0.057224914,0.07840541,-0.99527776,1
454,-0.15596485,0.12397477,-0.9799516,1
455,-0.2921261,0.13800678,-0.9463701,1
456,-0.4249052,0.1049111,-0.89913803,1
457,-0.50324863,0.025636222,-0.86376125,1
458,-0.4939649,-0.06709225,-0.86688936,1
459,-0.39882427,-0.12344886,-0.90868014,1
460,-0.2502619,-0.109393775,-0.96197814,1
461,-0.083933435,-0.02672674,-0.9961129,1
462,0.0909807,0.09333109,-0.9914695,1
463,0.28626782,0.2025832,-0.93648845,1
464,0.4942296,0.24406601,-0.8343674,1
465,0.6661529,0.18112348,-0.7234878,1
466,0.7448462,0.033395723,-0.66639984,1
467,0.7042819,-0.12906699,-0.69808936,1
468,0.5613469,-0.23257472,-0.7942284,1
469,0.37072638,-0.24528845,-0.89576536,1
470,0.19953395,-0.18581642,-0.9621115,1
471,0.08709854,-0.08800684,-0.9923047,1
472,0.035693586,0.04000243,-0.9985618,1
473,0.03378642,0.22233595,-0.97438455,1
474,0.07523085,0.48961174,-0.86868906,1
475,0.16083391,0.80479646,-0.571345,1
476,0.2673841,0.963032,-0.03278758,1
477,0.33524746,0.7875433,0.51709247,1
478,0.3559431,0.40232167,0.84347004,1
479,0.35987055,-0.03691821,0.93227154,1
480,0.3583453,-0.4723676,0.8052686,1
481,0.33381757,-0.8356827,0.4361196,1
482,0.256583,-0.95705307,-0.13496155,1
483,0.1477666,-0.75071776,-0.64388496,1
484,0.062224567,-0.421683,-0.9046057,1
485,0.00062264403,-0.13729817,-0.9905296,1
486,-0.07012126,0.09719109,-0.9927924,1
487,-0.19042517,0.32132864,-0.9276239,1
488,-0.39127073,0.52919465,-0.7529012,1
489,-0.6458937,0.62422144,-0.43950978,1
490,-0.8570403,0.5087573,-0.08153489,1
491,-0.9647954,0.21144643,0.15639727,1
492,-0.9717073,-0.15775257,0.17578125,1
493,-0.87906116,-0.47555047,-0.033213504,1
